4095	3877
17043	17044
17023	17043
16940	17043
2453	2419
17046	16922
16922	17047
17306	17328
16986	17048
2420	2457
17049	16986
17048	16700
16902	17050
17051	16902
17052	16669
17054	17053
2420	2458
17056	16933
17002	16960
17002	17057
17023	17058
16896	17059
16863	16820
16903	17050
17324	17306
24	27
16788	17061
17018	17063
16916	17064
17065	16916
17066	16916
2460	2461
16951	16978
17068	16951
17069	16951
12575	12530
17776	17750
12577	12576
12412	12577
12578	12415
12415	12579
2462	2460
12582	12583
12584	12583
12583	12192
988	879
12194	12368
12304	12587
12588	12499
12589	12233
12590	12233
1317	1319
12589	12234
12591	12169
28	24
12230	12229
12592	11535
11535	12435
12170	12593
15408	15429
12594	12170
870	897
2465	2408
12154	12595
12403	12596
3872	3974
12597	12403
12598	12351
12599	12288
12288	12600
1871	2466
12601	12382
12602	12382
11889	12507
12573	12603
12604	12550
2467	1871
2747	2526
12994	12250
2317	2578
1542	2748
12897	12819
2748	2379
15624	15765
2750	2748
12851	12790
1322	1303
12762	12571
2751	2697
2635	2661
2687	2752
13000	12999
11670	10770
2753	2687
2457	2754
13001	12902
2755	2457
12903	13002
2390	1871
2674	2756
12979	12903
2674	2359
17554	17143
2758	2640
2759	2760
13007	12938
2761	2759
13008	12938
2762	2759
13009	12717
2449	2626
2626	2562
2601	2763
2599	2685
2584	2599
2764	2433
2433	2765
2470	2346
15689	15815
2766	2540
2767	2255
17194	17195
17522	17601
2255	2768
3052	3192
17602	17524
2742	2769
17524	17448
2549	2770
2549	2771
2344	2471
13019	12142
2772	2666
12684	13020
2723	2772
17607	17338
2773	2772
2723	2773
15624	15766
2708	2282
12102	13024
2775	2776
3584	4097
2403	2436
2475	2415
15469	15767
2476	2416
15936	16422
3336	3248
2416	2477
9253	9256
9207	9257
2311	2405
770	772
8442	9207
1334	1336
9058	9258
16557	16623
9151	9058
3337	3222
17273	17235
16947	16946
734	851
9261	9060
9209	9208
16779	17067
853	716
2241	2258
16779	17046
3222	3338
9263	9215
17085	16802
812	855
15769	15709
9215	9264
16593	16624
13937	13897
17943	17944
14731	14646
17944	17905
17945	17944
17930	17947
17921	17911
17948	17949
1020	904
14646	14732
17933	17948
17948	17950
10392	10465
17951	17933
17936	17952
17925	17885
17953	17925
17954	17923
722	858
17765	17946
17938	17765
16092	16093
10466	10392
3169	3168
8022	8020
17956	17782
14732	14733
17084	16802
17957	17599
17599	17958
17927	17959
17960	17882
17882	17926
17926	17688
17912	17961
17912	17960
17962	17656
860	806
17963	17656
10025	9855
9189	8983
17962	17963
17964	17962
17266	17355
32	35
3167	2894
17886	17966
17965	17967
861	764
17965	17968
17970	17934
17971	17924
3371	3536
3163	3675
844	764
3676	3163
6787	7101
3638	3535
4100	4102
